frame,time_seconds,mean_abs_difference,changed_fraction_ge_12
198,3.283333,0.195625,0.0
199,3.3,0.340625,0.0
200,3.316667,0.166389,0.0
201,3.333333,0.246944,0.0
202,3.35,0.148958,0.0
203,3.366667,0.344028,0.0
204,3.383333,0.084167,0.0
205,3.4,0.189236,0.0
206,3.416667,0.082708,0.0
207,3.433333,0.261042,0.0
208,3.45,0.149653,0.0
209,3.466667,0.16,0.0
210,3.483333,0.150764,0.0
211,3.5,0.205,0.0
212,3.516667,0.137708,0.0
213,3.533333,0.158333,0.0
214,3.55,0.032986,0.0
215,3.566667,43.251389,0.781458
216,3.583333,0.046181,0.0
217,3.6,0.136319,0.000347
218,3.616667,0.042569,0.0
219,3.633333,0.046875,0.0
220,3.65,0.263611,0.000625
221,3.666667,0.124792,0.0
222,3.683333,0.256042,6.9e-05
223,3.7,0.167778,0.0
224,3.716667,0.287708,0.000556
225,3.733333,0.138819,0.0
226,3.75,0.153403,0.0
227,3.766667,0.322569,0.000486
228,3.783333,0.077639,0.0
229,3.8,0.199514,0.000208
230,3.816667,0.058472,0.0
231,3.833333,0.081111,0.0
232,3.85,0.298194,0.000278
233,3.866667,0.166875,0.0
234,3.883333,0.310417,0.001458
235,3.9,0.222083,0.0
236,3.916667,0.305417,0.001319
237,3.933333,0.150972,0.0
238,3.95,0.144583,0.0
239,3.966667,0.393194,0.001042
240,3.983333,0.094861,0.0
241,4.0,0.464514,0.001597
242,4.016667,0.045903,0.0
243,4.033333,0.146875,0.0
244,4.05,0.370417,0.002153
245,4.066667,0.166458,0.0
246,4.083333,0.366597,0.002569
247,4.1,0.188958,0.0
248,4.116667,0.362569,0.003333
249,4.133333,0.173819,0.0
250,4.15,0.168472,0.000139
251,4.166667,0.454931,0.002361
252,4.183333,0.089792,0.000139
253,4.2,0.315347,0.003194
254,4.216667,0.076528,0.000278
255,4.233333,0.123125,0.000139
256,4.25,0.388056,0.003819
257,4.266667,0.167639,0.000139
258,4.283333,0.350764,0.003125
259,4.3,0.217569,0.000139
260,4.316667,0.367639,0.004306
261,4.333333,0.177569,0.0
262,4.35,0.1475,0.000208
263,4.366667,0.429028,0.004097
264,4.383333,0.096389,6.9e-05
265,4.4,0.319931,0.004167
266,4.416667,0.071181,0.000139
